TIME,CH2,Model,TBS2074B
6.41E+00,-0.0004,,
6.42E+00,0,,
6.42E+00,-0.0008,,
6.43E+00,0,,
6.44E+00,-0.0004,,
6.45E+00,-0.0004,,
6.46E+00,0.0008,,
6.46E+00,-0.0016,,
6.47E+00,0,,
6.48E+00,-0.0004,,
6.49E+00,-0.0004,,
6.50E+00,-0.0008,,
6.50E+00,-0.0008,,
6.51E+00,-0.0004,,
6.52E+00,-0.0008,,
6.53E+00,-0.0008,,
6.54E+00,-0.0004,,
6.54E+00,-0.0008,,
6.55E+00,-0.0004,,
6.56E+00,0,,
6.57E+00,0,,
6.58E+00,0.0008,,
6.58E+00,0,,
6.59E+00,0,,
6.60E+00,0.0004,,
6.61E+00,-0.0008,,
6.62E+00,-0.0004,,
6.62E+00,-0.0004,,
6.63E+00,0.0004,,
6.64E+00,-0.0004,,
6.65E+00,-0.0004,,
6.66E+00,0,,
6.66E+00,0,,
6.67E+00,-0.0008,,
6.68E+00,-0.0004,,
6.69E+00,-0.0008,,
6.70E+00,0.0004,,
6.70E+00,0.0004,,
6.71E+00,-0.0012,,
6.72E+00,0.0004,,
6.73E+00,0.004,,
6.74E+00,0.0028,,
6.74E+00,-0.0004,,
6.75E+00,0,,
6.76E+00,0,,
6.77E+00,-0.0004,,
6.78E+00,-0.0004,,
